unit_id,screen_name,unit_name
0,morning_musume,モーニング娘。'19
1,angerme,アンジュルム
2,juice_juice,Juice=Juice
3,country_girls,カントリー・ガールズ
4,kobushi_factory,こぶしファクトリー
5,tsubaki_factory,つばきファクトリー
6,beyooooonds,BEYOOOOONDS
